SUCCESS SOUNDS:
random.levelup
random.orb
note.pling

NEW MESSAGE
execute @a ~ ~ ~ playsound random.click @s ~ ~ ~ 1 1.6

WHOOSH
vr.stutterturn

MAGIC
beacon.power
beacon.activate
mob.evocation_illager.cast_spell
PROPULSION
mob.cat.hiss (pitch = 2)

CREEPY
mob.wither.spawn
mob.wolf.whine

IMPRESSIVE
mob.wither.break_block

METALLIC
block.false_permissions

DISGUSTING
mob.spider.step
CRACKING
block.turtle_egg.crack

----------------------------

Sound Name (for /playsound) 	Category
item.trident.return 	–
item.trident.riptide_1 	–
item.trident.riptide_2 	–
item.trident.riptide_3 	–
item.trident.throw 	–
item.trident.thunder 	–
item.shield.block 	–
mob.wanderingtrader.idle 	–
mob.wanderingtrader.death 	–
mob.wanderingtrader.disappeared 	–
mob.wanderingtrader.drink_milk 	–
mob.wanderingtrader.drink_potion 	–
mob.wanderingtrader.haggle 	–
mob.wanderingtrader.yes 	–
mob.wanderingtrader.no 	–
mob.wanderingtrader.hurt 	–
mob.wanderingtrader.reappeared 	–
mob.witch.ambient 	–
mob.witch.celebrate 	–
mob.witch.death 	–
mob.witch.hurt 	–
mob.witch.drink 	–
mob.witch.throw 	–
mob.wither.ambient 	–
mob.wither.break_block 	–
mob.wither.death 	–
mob.wither.hurt 	–
mob.wither.shoot 	–
mob.wither.spawn 	–
mob.wolf.bark 	neutral
mob.wolf.death 	neutral
mob.wolf.growl 	neutral
mob.wolf.hurt 	neutral
mob.wolf.panting 	neutral
mob.wolf.shake 	neutral
mob.wolf.step 	neutral
mob.wolf.whine 	neutral
mob.ocelot.idle 	neutral
mob.ocelot.death 	neutral
mob.cat.eat 	neutral
mob.cat.hiss 	neutral
mob.cat.hit 	neutral
mob.cat.meow 	neutral
mob.cat.beg 	neutral
mob.cat.straymeow 	neutral
mob.cat.purr 	neutral
mob.cat.purreow 	neutral
mob.polarbear_baby.idle 	neutral
mob.polarbear.idle 	neutral
mob.polarbear.step 	neutral
mob.polarbear.warning 	hostile
mob.polarbear.hurt 	hostile
mob.polarbear.death 	hostile
mob.panda_baby.idle, pitch = 1.5 	neutral
mob.panda.idle 	neutral
mob.panda.idle.aggressive 	neutral
mob.panda.idle.worried 	neutral
mob.panda.step 	neutral
mob.panda.presneeze 	–
mob.panda.sneeze 	–
mob.panda.hurt 	hostile
mob.panda.death 	hostile
mob.panda.bite 	hostile
mob.panda.eat 	neutral
mob.panda.cant_breed 	neutral
mob.zombie.death 	hostile
mob.zombie.hurt 	hostile
mob.zombie.remedy 	hostile
mob.zombie.unfect 	hostile
mob.zombie.say 	hostile
mob.zombie.step 	hostile
mob.zombie.wood 	hostile
mob.zombie.woodbreak 	hostile
mob.zombiepig.zpig 	hostile
mob.zombiepig.zpigangry 	hostile
mob.zombiepig.zpigdeath 	hostile
mob.zombiepig.zpighurt 	hostile
mob.zombie_villager.say 	–
mob.zombie_villager.death 	–
mob.zombie_villager.hurt 	–
note.banjo 	record
note.bass 	record
note.bassattack 	record
note.bd 	record
note.bell 	record
note.bit 	record
note.cow_bell 	record
note.didgeridoo 	record
note.flute 	record
note.guitar 	record
note.harp 	record
note.hat 	record
note.chime 	record
note.iron_xylophone 	record
note.pling 	record
note.snare 	record
note.xylophone 	record
portal.portal 	block
portal.travel 	ui
portal.trigger 	ui
random.anvil_break 	block
random.anvil_land 	block
random.anvil_use 	block
random.bow 	neutral
random.bowhit 	neutral
random.break 	player
random.burp 	player
random.chestclosed 	block
random.chestopen 	block
random.shulkerboxclosed 	block
random.shulkerboxopen 	block
random.enderchestopen 	block
random.enderchestclosed 	block
random.potion.brewed 	block
random.click 	ui
random.door_close 	block
random.door_open 	block
random.drink 	player
random.drink_honey 	player
random.eat 	player
random.explode 	block
random.fizz 	block
random.fuse 	block
random.glass 	block
random.levelup 	player
random.orb 	player
random.pop 	player
random.pop2 	player
random.screenshot 	ui
random.splash 	player
random.swim 	player
random.hurt 	player
random.toast 	ui
random.totem 	player
camera.take_picture 	player
use.ladder 	neutral
hit.ladder 	neutral
fall.ladder 	neutral
step.ladder 	neutral
use.cloth 	neutral
hit.cloth 	neutral
fall.cloth 	neutral
step.cloth 	neutral
use.grass 	neutral
hit.grass 	neutral
fall.grass 	neutral
step.grass 	neutral
use.gravel 	neutral
hit.gravel 	neutral
fall.gravel 	neutral
step.gravel 	neutral
use.sand 	neutral
hit.sand 	neutral
fall.sand 	neutral
step.sand 	neutral
use.slime 	neutral
hit.slime 	neutral
fall.slime 	neutral
step.slime 	neutral
use.snow 	neutral
hit.snow 	neutral
fall.snow 	neutral
step.snow 	neutral
use.stone 	neutral
hit.stone 	neutral
fall.stone 	neutral
fall.egg 	neutral
step.stone 	neutral
use.wood 	neutral
hit.wood 	neutral
fall.wood 	neutral
step.wood 	neutral
jump.cloth 	neutral
jump.grass 	neutral
jump.gravel 	neutral
jump.sand 	neutral
jump.snow 	neutral
jump.stone 	neutral
jump.wood 	neutral
jump.slime 	neutral
land.cloth 	neutral
land.grass 	neutral
land.gravel 	neutral
land.sand 	neutral
land.snow 	neutral
land.stone 	neutral
land.wood 	neutral
land.slime 	neutral
vr.stutterturn 	player
record.13
(max_distance = 64) 	–
record.cat
(max_distance = 64) 	–
record.blocks
(max_distance = 64) 	–
record.chirp
(max_distance = 64) 	–
record.far
(max_distance = 64) 	–
record.mall
(max_distance = 64) 	–
record.mellohi
(max_distance = 64) 	–
record.stal
(max_distance = 64) 	–
record.strad
(max_distance = 64) 	–
record.ward
(max_distance = 64) 	–
record.11
(max_distance = 64) 	–
record.wait
(max_distance = 64) 	–
raid.horn
(max_distance = 128) 	neutral
music.menu 	music
music.game 	music
music.game.creative 	music
music.game.end 	music
music.game.endboss 	music
music.game.nether 	music
music.game.credits 	music
mob.bee.aggressive
(max_distance = 8) 	neutral
mob.bee.death 	neutral
mob.bee.hurt 	neutral
mob.bee.loop
(max_distance = 6) 	neutral
mob.bee.pollinate
(max_distance = 12) 	neutral
mob.bee.sting 	neutral
block.beehive.enter
(max_distance = 14) 	block
block.beehive.exit
(max_distance = 14) 	block
block.beehive.shear 	block
block.beehive.work
(max_distance = 12) 	block
block.beehive.drip
(max_distance = 8) 	block 
